SeqName	length	bit-score	eValue	hitName	GOs	ACC
126_NL	878	644.81	0	gi|595833779|ref|XP_007206733.1|hypothetical protein PRUPE_ppa024822mg [Prunus persica]	GO:0043531, GO:0006952	EMJ07932.1
126_NL	878	615.92	0	gi|596017798|ref|XP_007218891.1|hypothetical protein PRUPE_ppa000343mg [Prunus persica]	GO:0043531, GO:0006952	EMJ20090.1
126_NL	878	612.068	0	gi|596017802|ref|XP_007218892.1|hypothetical protein PRUPE_ppa000391mg [Prunus persica]	GO:0043531, GO:0006952	EMJ20091.1
126_NL	878	608.601	0	gi|596056806|ref|XP_007220964.1|hypothetical protein PRUPE_ppa026310mg, partial [Prunus persica]	GO:0043531	EMJ22163.1
126_NL	878	608.216	0	gi|596061977|ref|XP_007221132.1|hypothetical protein PRUPE_ppa019071mg [Prunus persica]	GO:0043531, GO:0006952	EMJ22331.1
1307_CN	538	714.531	0	gi|976909205|gb|KVH96369.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	KVH96369.1
1307_CN	538	701.819	0	gi|565401646|ref|XP_006366308.1|PREDICTED: putative late blight resistance protein homolog R1B-14 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_006366308.1
1307_CN	538	694.115	0	gi|661890981|emb|CDP05558.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP05558.1
1322	904	432.95	2.27E-134	gi|661890981|emb|CDP05558.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP05558.1
1322	904	394.045	7.74E-122	gi|661886097|emb|CDP10323.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP10323.1
1322	904	396.741	2.08E-120	gi|976918917|gb|KVI04070.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	KVI04070.1
1345_CNL	1028	490.345	2.84E-152	gi|661871097|emb|CDP21362.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP21362.1
1345_CNL	1028	489.96	3.22E-152	gi|590654140|ref|XP_007033617.1|Cc-nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOY04543.1
1345_CNL	1028	477.248	3.80E-149	gi|661880385|emb|CDP15916.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP15916.1
1345_CNL	1028	471.085	1.67E-144	gi|590654363|ref|XP_007033676.1|Cc-nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY04602.1
1349_CN	590	295.049	6.35E-86	gi|590621007|ref|XP_007024689.1|NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao]	GO:0043531, GO:0006952	EOY27311.1
1349_CN	590	291.582	3.69E-85	gi|590621011|ref|XP_007024690.1|NB-ARC domain-containing disease resistance protein, putative isoform 2 [Theobroma cacao]	GO:0043531, GO:0006952	EOY27312.1
1349_CN	590	280.411	1.88E-80	gi|590621021|ref|XP_007024693.1|NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY27315.1
1367_CNL	1153	972.615	0	gi|566260085|ref|XP_006389596.1|hypothetical protein POPTR_0021s00470g [Populus trichocarpa]	GO:0043531, GO:0006952	ERP48510.1
1367_CNL	1153	936.021	0	gi|590596478|ref|XP_007018344.1|Nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY15569.1
1367_CNL	1153	902.894	0	gi|590596486|ref|XP_007018346.1|Nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY15571.1
1367_CNL	1153	882.863	0	gi|590596505|ref|XP_007018351.1|Nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY15576.1
1371_CNL	1199	613.224	0	gi|661878274|emb|CDP17982.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP17982.1
1371_CNL	1199	610.142	0	gi|823148886|ref|XP_012474325.1|PREDICTED: disease resistance protein RGA2-like isoform X1 [Gossypium raimondii]	GO:0043531, GO:0006952	KJB23605.1
1371_CNL	1199	602.823	0	gi|566201677|ref|XP_006374781.1|hypothetical protein POPTR_0014s00720g [Populus trichocarpa]	GO:0043531, GO:0006952	ERP52578.1
138(2)_TCNL	1179	932.939	0	gi|643715111|gb|KDP27361.1|hypothetical protein JCGZ_20185 [Jatropha curcas]	GO:0007165, GO:0043531, GO:0006952	KDP27361.1
138(2)_TCNL	1179	907.516	0	gi|255542420|ref|XP_002512273.1|PREDICTED: TMV resistance protein N isoform X2 [Ricinus communis]	GO:0007165, GO:0043531, GO:0006952	EEF49725.1
138(3)_TNL	782	750.74	0	gi|643715111|gb|KDP27361.1|hypothetical protein JCGZ_20185 [Jatropha curcas]	GO:0007165, GO:0043531, GO:0006952	KDP27361.1
138(3)_TNL	782	714.531	0	gi|596113848|ref|XP_007221574.1|hypothetical protein PRUPE_ppa025931mg [Prunus persica]	GO:0007165, GO:0043531, GO:0006952	EMJ22773.1
138(3)_TNL	782	702.975	0	gi|223543328|gb|EEF44860.1|TMV resistance protein N, putative [Ricinus communis]	GO:0007165, GO:0043531, GO:0006952	EEF44860.1
138(3)_TNL	782	697.582	0	gi|596052931|ref|XP_007220726.1|hypothetical protein PRUPE_ppa023276mg [Prunus persica]	GO:0007165, GO:0043531, GO:0006952	EMJ21925.1
138_TNL	1128	878.241	0	gi|596052931|ref|XP_007220726.1|hypothetical protein PRUPE_ppa023276mg [Prunus persica]	GO:0007165, GO:0043531, GO:0006952	EMJ21925.1
138_TNL	1128	788.875	0	gi|643715111|gb|KDP27361.1|hypothetical protein JCGZ_20185 [Jatropha curcas]	GO:0007165, GO:0043531, GO:0006952	KDP27361.1
144_CNL	969	571.237	0	gi|703072724|ref|XP_010089359.1|Disease resistance protein [Morus notabilis]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EXB37703.1
144_CNL	969	552.362	5.82E-178	gi|590608098|ref|XP_007021175.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY12700.1
144_CNL	969	542.347	2.65E-174	gi|823154342|ref|XP_012477043.1|PREDICTED: probable disease resistance protein At1g61300 [Gossypium raimondii]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KJB26993.1
144_CNL	969	533.487	2.41E-171	gi|728835047|gb|KHG14490.1|hypothetical protein F383_06039 [Gossypium arboreum]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KHG14490.1
1513_CNL	1165	439.113	5.03E-129	gi|147777048|emb|CAN65562.1|hypothetical protein VITISV_009359 [Vitis vinifera]	GO:0043531, GO:0006952	CAN65562.1
155_CNL	644	308.916	6.94E-90	gi|590681700|ref|XP_007041151.1|NB-ARC domain-containing disease resistance protein isoform 1 [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOX96983.1
155_CNL	644	309.301	7.11E-90	gi|590669164|ref|XP_007037697.1|NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao]	GO:0043531, GO:0006952	EOY22199.1
155_CNL	644	294.664	1.34E-84	gi|590681727|ref|XP_007041159.1|NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOX96990.1
155_CNL	644	290.812	4.27E-83	gi|823121918|ref|XP_012468847.1|PREDICTED: disease resistance protein RPS2-like [Gossypium raimondii]	GO:0043531, GO:0006952	KJB08112.1
155_CNL	644	269.24	9.33E-77	gi|947094397|gb|KRH42982.1|hypothetical protein GLYMA_08G123300 [Glycine max]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KRH42983.1
155_CNL	644	266.929	8.13E-76	gi|571455851|ref|XP_006580205.1|PREDICTED: disease resistance protein At4g27190-like isoform X2 [Glycine max]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KRH59105.1
155_CNL	644	270.011	1.66E-75	gi|571471075|ref|XP_006585198.1|PREDICTED: disease resistance protein At4g27190-like [Glycine max]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KRH42981.1
1560_CNL	1244	648.277	0	gi|590654895|ref|XP_007033830.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY04756.1
1560_CNL	1244	625.165	0	gi|565381067|ref|XP_006356903.1|PREDICTED: putative disease resistance protein RGA3 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_015168659.1
1560_CNL	1244	605.134	0	gi|661881649|emb|CDP14809.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP14809.1
1560_CNL	1244	602.823	0	gi|661878274|emb|CDP17982.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP17982.1
1579_XNL	855	763.837	0	gi|549444998|gb|AGX27500.1|NBS-LRR class resistance protein Fy2-Ry2 [Sesamum indicum]	GO:0043531, GO:0006952	AGX27500.1
15_CNL	1014	781.556	0	gi|703072724|ref|XP_010089359.1|Disease resistance protein [Morus notabilis]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EXB37703.1
15_CNL	1014	627.476	0	gi|823154342|ref|XP_012477043.1|PREDICTED: probable disease resistance protein At1g61300 [Gossypium raimondii]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	KJB26993.1
15_CNL	1014	621.698	0	gi|590611482|ref|XP_007022116.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY13641.1
1611_CNL	824	405.216	1.86E-124	gi|566154972|ref|XP_006370708.1|putative disease resistance gene NBS-LRR family protein [Populus trichocarpa]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ERP67277.1
1611_CNL	824	399.438	2.20E-122	gi|567880113|ref|XP_006432615.1|hypothetical protein CICLE_v10003416mg [Citrus clementina]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ESR45855.1
1611_CNL	824	397.127	1.47E-121	gi|567880107|ref|XP_006432612.1|hypothetical protein CICLE_v10003762mg [Citrus clementina]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ESR45852.1
1615_CNL	1277	1095.88	0	gi|590584019|ref|XP_007015058.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0016020, GO:0016021, GO:0043531, GO:0006952	EOY32677.1
1685_CNL	964	593.578	0	gi|590669164|ref|XP_007037697.1|NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao]	GO:0043531, GO:0006952	EOY22199.1
1685_CNL	964	560.451	0	gi|823121918|ref|XP_012468847.1|PREDICTED: disease resistance protein RPS2-like [Gossypium raimondii]	GO:0043531, GO:0006952	KJB08112.1
1700_CNL	755	502.286	6.90E-164	gi|661881561|emb|CDP14721.1|unnamed protein product, partial [Coffea canephora]	GO:0043531	CDP14721.1
1700_CNL	755	497.278	2.79E-160	gi|661880385|emb|CDP15916.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP15916.1
1700_CNL	755	494.967	9.69E-159	gi|661889218|emb|CDP07187.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP07187.1
1700_CNL	755	485.723	1.51E-154	gi|661881568|emb|CDP14728.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP14728.1
1846_XNL	921	825.469	0	gi|595852885|ref|XP_007210392.1|hypothetical protein PRUPE_ppa000961mg [Prunus persica]	GO:0043531, GO:0006952	EMJ11591.1
188_CNL	1098	863.988	0	gi|223528186|gb|EEF30247.1|leucine-rich repeat containing protein, putative [Ricinus communis]	GO:0008152, GO:0006470, GO:0043531, GO:0004721, GO:0016787, GO:0006952	EEF30247.1
188_CNL	1098	809.675	0	gi|567860890|ref|XP_006423099.1|hypothetical protein CICLE_v10027705mg [Citrus clementina]	GO:0043531, GO:0006952	ESR36340.1
188_CNL	1098	803.127	0	gi|703070004|ref|XP_010088666.1|Putative disease resistance protein RGA3 [Morus notabilis]	GO:0043531, GO:0006952	EXB36826.1
188_CNL	1098	790.415	0	gi|565352716|ref|XP_006343286.1|PREDICTED: putative disease resistance protein RGA3 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_015162426.1
1959_CNL	865	356.681	8.42E-106	gi|976918917|gb|KVI04070.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	
1959_CNL	865	366.696	1.75E-105	gi|976900592|gb|KVH88772.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	
1959_CNL	865	326.635	3.42E-94	gi|976909203|gb|KVH96367.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	
197_XNL	1192	1004.59	0	gi|566260085|ref|XP_006389596.1|hypothetical protein POPTR_0021s00470g [Populus trichocarpa]	GO:0043531, GO:0006952	
197_XNL	1192	986.097	0	gi|508723672|gb|EOY15569.1|Nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY15569.1
1|curiosidad_error_CNCL_cDNA_translation	1459	867.455	0	gi|731413749|ref|XP_010658871.1|PREDICTED: putative disease resistance RPP13-like protein 1 [Vitis vinifera]	GO:0043531, GO:0006952	XP_010658871.1
1|curiosidad_error_CNCL_cDNA_translation	1459	861.292	0	gi|823231153|ref|XP_012448285.1|PREDICTED: putative disease resistance protein At3g14460 [Gossypium raimondii]	GO:0043531, GO:0006952	KJB60282.1
2039_NL	1102	865.144	0	gi|147841490|emb|CAN77617.1|hypothetical protein VITISV_037152 [Vitis vinifera]	GO:0043531, GO:0006952	CAN77617.1
2039_NL	1102	830.861	0	gi|703112553|ref|XP_010100144.1|Putative disease resistance RPP13-like protein 1 [Morus notabilis]	GO:0043531, GO:0006952	EXB81595.1
2039_NL	1102	819.305	0	gi|590565347|ref|XP_007009923.1|NBS type disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY18733.1
2039_NL	1102	817.379	0	gi|596017798|ref|XP_007218891.1|hypothetical protein PRUPE_ppa000343mg [Prunus persica]	GO:0043531, GO:0006952	EMJ20090.1
2065_XNL	804	798.89	0	gi|147841490|emb|CAN77617.1|hypothetical protein VITISV_037152 [Vitis vinifera]	GO:0043531, GO:0006952	CAN77617.1
2147_CN	1032	622.083	0	gi|661878274|emb|CDP17982.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP17982.1
2147_CN	1032	621.698	0	gi|590654140|ref|XP_007033617.1|Cc-nbs-lrr resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOY04543.1
2147_CN	1032	611.298	0	gi|661880359|emb|CDP15890.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP15890.1
224_NL	859	376.711	1.12E-108	gi|317106737|dbj|BAJ53233.1|JHL06P13.14 [Jatropha curcas]	GO:0043531, GO:0006952	KDP37106.1
224_NL	859	366.311	4.47E-108	gi|225445915|ref|XP_002263288.1|PREDICTED: probable disease resistance protein At4g27220 [Vitis vinifera]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	XP_010656889.1
224_NL	859	362.073	2.44E-106	gi|971568995|ref|XP_006357685.2|PREDICTED: probable disease resistance protein At1g61300 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_006357685.2
2329_(2)_NL_	733	359.762	3.02E-116	gi|379068906|gb|AFC90806.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90806.1
2329_(2)_NL_	733	358.992	6.36E-116	gi|379068822|gb|AFC90764.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90764.1
2329_(2)_NL_	733	356.681	4.12E-115	gi|379068624|gb|AFC90665.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90665.1
2329_(2)_NL_	733	355.14	1.74E-114	gi|379068592|gb|AFC90649.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90649.1
2329_(2)_NL_	733	353.599	5.74E-114	gi|379068936|gb|AFC90821.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90821.1
2329_CNL	737	521.546	2.28E-169	gi|703072724|ref|XP_010089359.1|Disease resistance protein [Morus notabilis]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EXB37703.1
2329_CNL	737	512.686	5.95E-167	gi|823198021|ref|XP_012434464.1|PREDICTED: probable disease resistance protein At1g61300 isoform X1 [Gossypium raimondii]	GO:0043531, GO:0006952	KJB45689.1
238_CNL	860	352.829	9.95E-106	gi|827885222|dbj|BAR88384.1|nucleotide binding site-leucine rich repeat protein [Solanum pimpinellifolium]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	BAR88384.1
2396_CNL	894	535.798	3.85E-174	gi|629078625|gb|KCW45557.1|hypothetical protein EUGRSUZ_L00715, partial [Eucalyptus grandis]	GO:0043531	KCW45557.1
2396_CNL	894	513.072	4.12E-165	gi|702372091|ref|XP_010061841.1|PREDICTED: disease resistance protein RPP13-like [Eucalyptus grandis]	GO:0043531, GO:0006952	KCW68876.1
2396_CNL	894	510.76	5.61E-165	gi|629103402|gb|KCW68871.1|hypothetical protein EUGRSUZ_F02460 [Eucalyptus grandis]	GO:0043531, GO:0006952	KCW68871.1
242_CNL	975	577.785	1.22E-180	gi|317106737|dbj|BAJ53233.1|JHL06P13.14 [Jatropha curcas]	GO:0043531, GO:0006952	KDP37106.1
242_CNL	975	512.686	1.48E-172	gi|379067770|gb|AFC90238.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90238.1
242_CNL	975	546.969	4.31E-171	gi|976920361|gb|KVI05092.1|hypothetical protein Ccrd_016590 [Cynara cardunculus var. scolymus]	GO:0043531	KVI05092.1
2457_CNL	709	474.552	8.21E-154	gi|661881561|emb|CDP14721.1|unnamed protein product, partial [Coffea canephora]	GO:0043531	CDP14721.1
267_XN	433	281.952	2.15E-84	gi|641824895|gb|KDO44197.1|hypothetical protein CISIN_1g047642mg, partial [Citrus sinensis]	GO:0043531	KDO44197.1
267_XN	433	281.567	4.79E-83	gi|567861874|ref|XP_006423591.1|hypothetical protein CICLE_v10027800mg [Citrus clementina]	GO:0043531, GO:0006952	ESR36831.1
267_XN	433	278.485	6.95E-82	gi|661898612|emb|CDO98579.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDO98579.1
267_XN	433	278.1	9.68E-82	gi|661898613|emb|CDO98580.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDO98580.1
2709_CNL	935	417.157	1.47E-127	gi|567881203|ref|XP_006433160.1|hypothetical protein CICLE_v10003522mg [Citrus clementina]	GO:0043531, GO:0006952	ESR46400.1
2709_CNL	935	399.053	1.60E-120	gi|567881373|ref|XP_006433245.1|hypothetical protein CICLE_v100000552mg, partial [Citrus clementina]	GO:0000166, GO:0043531, GO:0005524	ESR46485.1
2712_CN	585	280.411	1.26E-80	gi|629078625|gb|KCW45557.1|hypothetical protein EUGRSUZ_L00715, partial [Eucalyptus grandis]	GO:0043531	KCW45557.1
2712_CN	585	278.485	3.87E-80	gi|629103402|gb|KCW68871.1|hypothetical protein EUGRSUZ_F02460 [Eucalyptus grandis]	GO:0043531, GO:0006952	KCW68871.1
277_TNL	599	351.673	5.37E-107	gi|823198021|ref|XP_012434464.1|PREDICTED: probable disease resistance protein At1g61300 isoform X1 [Gossypium raimondii]	GO:0043531, GO:0006952	KJB45689.1
277_TNL	599	340.117	6.08E-102	gi|703072724|ref|XP_010089359.1|Disease resistance protein [Morus notabilis]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EXB37703.1
277_TNL	599	339.732	1.08E-101	gi|590611259|ref|XP_007022051.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY13576.1
277_TNL	599	339.347	1.55E-101	gi|590608098|ref|XP_007021175.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY12700.1
284_CNL	875	431.409	2.33E-132	gi|147775150|emb|CAN68116.1|hypothetical protein VITISV_012513 [Vitis vinifera]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	CAN68116.1
284_CNL	875	431.795	7.72E-131	gi|590727448|ref|XP_007099577.1|NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOY20452.1
284_CNL	875	435.647	1.00E-130	gi|976920361|gb|KVI05092.1|hypothetical protein Ccrd_016590 [Cynara cardunculus var. scolymus]	GO:0043531	KVI05092.1
284_CNL	875	427.172	1.06E-128	gi|590639660|ref|XP_007029736.1|NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOY10238.1
284_CNL	875	415.231	8.98E-128	gi|567880107|ref|XP_006432612.1|hypothetical protein CICLE_v10003762mg [Citrus clementina]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ESR45852.1
2873_NL	536	518.85	1.91E-172	gi|661890981|emb|CDP05558.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP05558.1
2873_NL	536	508.064	2.65E-168	gi|565401646|ref|XP_006366308.1|PREDICTED: putative late blight resistance protein homolog R1B-14 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_006366308.1
2882_TNL	968	552.747	7.57E-177	gi|922362210|ref|XP_003604614.2|disease resistance protein (TIR-NBS-LRR class) [Medicago truncatula]	GO:0007165, GO:0043531, GO:0006952	AES86811.2
288_NL	835	485.723	3.77E-155	gi|976918917|gb|KVI04070.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	
288_NL	835	475.322	2.25E-151	gi|565401646|ref|XP_006366308.1|PREDICTED: putative late blight resistance protein homolog R1B-14 [Solanum tuberosum]	GO:0043531, GO:0006952	
301_CNL	843	579.326	0	gi|641842303|gb|KDO61209.1|hypothetical protein CISIN_1g002750mg [Citrus sinensis]	GO:0043531, GO:0006952	KDO61209.1
301_CNL	843	577.015	0	gi|567907693|ref|XP_006446160.1|hypothetical protein CICLE_v10014222mg [Citrus clementina]	GO:0043531, GO:0006952	ESR59400.1
301_CNL	843	536.954	7.21E-175	gi|567907685|ref|XP_006446156.1|hypothetical protein CICLE_v10014197mg [Citrus clementina]	GO:0043531, GO:0006952	ESR59396.1
3133_CN	470	271.166	4.56E-85	gi|379068956|gb|AFC90831.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90831.1
325_CNL	874	466.848	1.25E-147	gi|661890981|emb|CDP05558.1|unnamed protein product [Coffea canephora]	GO:0043531, GO:0006952	CDP05558.1
325_CNL	874	442.965	2.84E-138	gi|976918917|gb|KVI04070.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	KVI04070.1
325_CNL	874	431.409	3.04E-134	gi|976900593|gb|KVH88773.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	KVH88773.1
325_CNL	874	429.483	2.32E-133	gi|976909205|gb|KVH96369.1|Disease resistance protein [Cynara cardunculus var. scolymus]	GO:0043531	KVH96369.1
325_CNL	874	426.787	2.84E-132	gi|565401646|ref|XP_006366308.1|PREDICTED: putative late blight resistance protein homolog R1B-14 [Solanum tuberosum]	GO:0043531, GO:0006952	XP_006366308.1
325_CNL	874	421.009	3.99E-130	gi|549444998|gb|AGX27500.1|NBS-LRR class resistance protein Fy2-Ry2 [Sesamum indicum]	GO:0043531, GO:0006952	AGX27500.1
